Ask Slashdot: Best Drone For $100-$150?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/2GFRAJK6KTU/story01.htm,"andyring writes With Christmas fast approaching, and me being notoriously hard to buy for, I thought a camera drone would be great to suggest for Christmas. But the options are dizzying, and it's nearly impossible to find something and know it'll be decent. What are Slashdotters suggestions/recommendations/experiences with a basic camera drone in the $100-150 range? Looks like all of them do video but I'm more interested in high-res stills although that may be a moot point.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Ask+Slashdot%3A+Best+Drone+For+%24100-%24150%3F%3A+http%3A%2F%2Fbit.ly%2F1twOCHb""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fask.slashdot.org%2Fstory%2F14%2F11%2F27%2F2232211%2Fask-slashdot-best-drone-for-100-150%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://ask.slashdot.org/story/14/11/27/2232211/ask-slashdot-best-drone-for-100-150?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://ask.slashdot.org/story/14/11/27/2232211/ask-slashdot-best-drone-for-100-150?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6211967&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/40ea991b/sc/36/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/a2.htm""><img src=""http://da.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/214612202964/u/0/f/647410/c/35028/s/40ea991b/sc/36/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/2GFRAJK6KTU"" height=""1"" width=""1""/>"
Ask Slashdot: Objective C Vs. Swift For a New iOS Developer?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/_mmECbjoscY/story01.htm,"RegularDave writes: I'm a recent grad from a master's program in a potentially worthless social science field, and I've considered getting into iOS development. Several of my friends who were in similar situations after grad school have done so and are making a healthy living getting contract work. Although they had CS and Physics degrees going into iOS, neither had worked in objective C and both essentially went through a crash courses (either self-taught or through intensive classes) in order to get their first gigs. I have two questions. First, am I an idiot for thinking I can teach myself either objective C or Swift on my own without any academic CS background (I've tinkered in HTML, CSS, and C classes online with some success)? Second, if I'm not an idiot for attempting to learn either language, which should I concentrate on?<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Ask+Slashdot%3A+Objective+C+Vs.+Swift+For+a+New+iOS+Developer%3F%3A+http%3A%2F%2Fbit.ly%2F1px7CtM""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fask.slashdot.org%2Fstory%2F14%2F11%2F28%2F2148254%2Fask-slashdot-objective-c-vs-swift-for-a-new-ios-developer%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://ask.slashdot.org/story/14/11/28/2148254/ask-slashdot-objective-c-vs-swift-for-a-new-ios-developer?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://ask.slashdot.org/story/14/11/28/2148254/ask-slashdot-objective-c-vs-swift-for-a-new-ios-developer?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6226417&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/40f2081b/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/214612198960/u/0/f/647410/c/35028/s/40f2081b/sc/4/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/_mmECbjoscY"" height=""1"" width=""1""/>"
Australia out of step with new climate momentum (The Arizona Republic),http://news.feedzilla.com/en_us/stories/science/409133755?client_source=api&format=json,"CANBERRA, Australia (AP) -- Australian Prime Minister Tony Abbott, who rose to
power in large part by opposing a tax on greenhouse gas emissions, is finding
his country isolated like never before on climate change as the U.S., China
and other nations signal new momentum for action....

"
Book Review: The Lost Elements (Scientific American),http://news.feedzilla.com/en_us/stories/science/409149517?client_source=api&format=json,"Books and recommendations from Scientific American


-- Read more on ScientificAmerican.com

"
Cheap Templates For Solar Cells Now On Blu-Ray (pubs.acs),http://news.feedzilla.com/en_us/stories/science/409087990?client_source=api&format=json,"Nanofabrication: Structures patterned by Blu-ray discs could boost the
efficiency of photovoltaic devices

"
Citizen scientists make a difference (Duke),http://news.feedzilla.com/en_us/stories/science/409080370?client_source=api&format=json,"

"
DNA Can Survive Reentry from Space (Scientific American),http://news.feedzilla.com/en_us/stories/science/409087878?client_source=api&format=json,"Genetic blueprints attached to a rocket survived a short spaceflight and later
passed on their biological instructions


-- Read more on ScientificAmerican.com

"
Debian Forked Over Systemd,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/7ePaJIxITDU/story01.htm,"jaromil writes: The so called ""Veteran Unix Admin"" collective has announced that the fork of Debian will proceed as a result of the recent systemd controversy. The reasons put forward are not just technical; included is a letter of endorsement by Debian Developer Roger Leigh mentioning that ""people rely on Debian for their jobs and businesses, their research and their hobbies. It's not a playground for such radical experimentation."" The fork is called ""Devuan,"" pronounced ""DevOne."" The official website has more information.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Debian+Forked+Over+Systemd%3A+http%3A%2F%2Fbit.ly%2F1FCmRWc""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Flinux.slashdot.org%2Fstory%2F14%2F11%2F28%2F1846259%2Fdebian-forked-over-systemd%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://linux.slashdot.org/story/14/11/28/1846259/debian-forked-over-systemd?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://linux.slashdot.org/story/14/11/28/1846259/debian-forked-over-systemd?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6224513&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/40f167ed/sc/21/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/a2.htm""><img src=""http://da.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/214612196028/u/0/f/647410/c/35028/s/40f167ed/sc/21/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/7ePaJIxITDU"" height=""1"" width=""1""/>"
Delaying Death: Mercury Spacecraft Firing Engines To Stay Up Until 2015 (Universe Today),http://news.feedzilla.com/en_us/stories/science/409149777?client_source=api&format=json,"Don't take these spectacular Mercury images (below the jump) for granted.
Three weeks ago, NASA's orbiting Mercury spacecraft did an engine fire to
boost its altitude above the hothouse planet. Another one is scheduled for
January. But all this will do is delay the end of the long-running mission --
the first one to orbit […]

"
"Europe's space-based, laser-powered data highway passes early test (reuters)",http://news.feedzilla.com/en_us/stories/science/409152296?client_source=api&format=json,"FRANKFURT (Reuters) - A European satellite beamed images to earth using new
laser-based communications technology on Friday, opening the way for
uninterrupted and near instantaneous viewing of natural disasters being sent
to governments and relief agencies.

"
